0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, gruppe
0, -1, -1, 1, 1, -1, 0, 1, 0, 2, -1, -2, -3, 1, -3, 1, moerkegraa
0, -3, -2, -2, -2, -2, 1, 0, 0, 2, -2, 1, -2, 0, 4, -3, moerkegraa
-1, 1, -4, -5, -3, -1, 1, -1, 1, -1, -1, 0, -4, -2, 1, 0, moerkegraa
1, -1, 0, -3, -1, -1, -3, -1, -2, -1, -3, -2, 0, 0, 0, 0, moerkegraa
-2, 2, 0, 0, -1, -1, -3, 1, -1, 1, 0, 1, -2, 2, 0, -1, moerkegraa
-1, -2, 1, -1, -2, -3, 1, -1, -1, -2, -2, -2, 1, -1, 0, 0, svart
0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, -2, 0, svart
-1, -2, -1, 1, -1, -1, 0, 0, -1, -1, -1, 1, 2, 2, -2, -5, svart
1, 0, -1, -1, 1, 0, -1, 0, 1, -1, 0, -1, 0, -1, 0, 1, svart
-2, 1, -1, -4, -2, 1, -5, 0, -1, -1, -1, -8, 4, -2, 3, -3, svart
6, 10, 11, 9, 10, 15, 18, 20, 22, 23, 24, 24, 24, 24, 25, 25, lysegraa
7, 7, 6, 6, 5, 4, 4, 6, 8, 9, 11, 13, 14, 16, 15, 14, lysegraa
3, 4, 5, 7, 7, 8, 9, 10, 11, 12, 12, 13, 12, 12, 13, 13, lysegraa
-2, -3, -4, -4, -3, -2, -1, -1, 1, 2, 1, 1, 1, 1, 1, 0, lysegraa
0, 0, -1, -1, -2, -3, -3, -4, -4, -4, -4, -4, -4, -3, -3, -3, lysegraa
