Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:10.000,00:05:10.000,0.81,1,1,0:06:25  ,0:06:25  ,0:05:55  ,--,--,--,144.0,156.0,--,44
2,00:02:15.000,00:02:15.000,0.4,--,--,0:05:35  ,0:05:35  ,0:05:22  ,--,--,--,164.0,172.0,--,23
3,00:00:56.000,00:00:56.000,0.16,--,--,0:05:46  ,0:05:46  ,0:05:26  ,--,--,--,170.0,176.0,--,10
4,00:05:17.000,00:05:17.000,0.8,1,--,0:06:33  ,0:06:33  ,0:05:58  ,--,--,--,162.0,176.0,--,48
5,00:02:19.000,00:02:19.000,0.4,--,1,0:05:45  ,0:05:45  ,0:05:32  ,--,--,--,173.0,182.0,--,24
6,00:00:52.000,00:00:52.000,0.16,--,--,0:05:22  ,0:05:22  ,0:05:07  ,--,--,--,176.0,183.0,--,10
7,00:05:18.000,00:05:18.000,0.81,--,--,0:06:35  ,0:06:35  ,0:06:15  ,--,--,--,163.0,179.0,--,47
8,00:02:38.000,00:02:36.000,0.4,1,--,0:06:32  ,0:06:27  ,0:05:47  ,--,--,--,176.0,182.0,--,26
9,00:00:53.000,00:00:53.000,0.16,--,1,0:05:28  ,0:05:28  ,0:05:13  ,--,--,--,172.0,183.0,--,10
10,00:05:21.000,00:05:21.000,0.81,--,--,0:06:38  ,0:06:38  ,0:05:57  ,--,--,--,167.0,180.0,--,49
11,00:02:35.000,00:02:35.000,0.4,--,--,0:06:25  ,0:06:25  ,0:06:06  ,--,--,--,175.0,179.0,--,25
12,00:01:02.000,00:01:02.000,0.16,1,--,0:06:25  ,0:06:25  ,0:05:28  ,--,--,--,175.0,182.0,--,11
13,00:05:20.000,00:05:20.000,0.8,--,1,0:06:37  ,0:06:37  ,0:05:58  ,--,--,--,153.0,175.0,--,47
14,00:02:33.000,00:02:33.000,0.4,--,--,0:06:20  ,0:06:20  ,0:06:01  ,--,--,--,171.0,179.0,--,25
15,00:00:59.000,00:00:59.000,0.16,--,--,0:06:05  ,0:06:05  ,0:05:41  ,--,--,--,165.0,184.0,--,11
16,00:05:12.000,00:05:10.000,0.8,1,1,0:06:27  ,0:06:25  ,0:05:47  ,--,--,--,170.0,177.0,--,50
17,00:02:50.000,00:02:50.000,0.4,--,--,0:07:02  ,0:07:02  ,0:06:01  ,--,--,--,163.0,171.0,--,24
18,00:01:01.000,00:01:00.000,0.16,--,--,0:06:18  ,0:06:12  ,0:05:47  ,--,--,--,168.0,178.0,--,10
Summary,01:09:34.000,00:52:26.000,8.21,5,5,0:08:28  ,0:06:23  ,0:05:07  ,--,--,--,164.0,184.0,--,493
